protein_id	length_aa	annotation_status	uniprot_id	subject_db_id	description	evalue	e_val	bitscore	identity_percent	identity_pct	query_coverage	query_coverage_pct	subject_coverage	refined_identity	refined_length	annotation_confidence
ENA|PV935594|PV935594.1_predicted_orf_34	34	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_35	34	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_36	32	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_37	43	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_38	45	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_39	34	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_40	49	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_41	42	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_42	50	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_43	30	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_44	38	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_45	40	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_46	32	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_47	45	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_48	50	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_49	48	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_50	56	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_51	33	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_52	67	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_53	47	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_54	55	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_55	47	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_56	35	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_57	58	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_58	67	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_59	57	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_60	57	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_61	33	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_62	52	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_63	32	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_64	40	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_65	63	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_66	2595	Annotated	P0DTD1	sp|P0DTD1|R1AB_SARS2	Homolog to sp|P0DTD1|R1AB_SARS2 (evalue: 0.0)	0.0	0.0	5320.0	100.0	100.0	100.0	100.0	36.57	100.0	2595.0	1.0
ENA|PV935594|PV935594.1_predicted_orf_67	40	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_68	49	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_69	47	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_70	55	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_71	45	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_72	32	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_73	33	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_74	30	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_75	31	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_76	32	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_77	49	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_78	31	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_79	69	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_80	34	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_81	47	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_82	40	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_83	47	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_84	68	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_85	57	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_86	51	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_87	78	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_88	34	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_89	34	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_90	58	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_91	30	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_92	30	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_93	47	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_94	81	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_95	47	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_96	41	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_97	88	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_98	50	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_99	32	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_100	1287	Annotated	P0DTC2	sp|P0DTC2|SPIKE_SARS2	Homolog to sp|P0DTC2|SPIKE_SARS2 (evalue: 0.0)	0.0	0.0	2467.0	100.0	100.0	98.91	98.91	100.0	100.0	1273.0	0.9967
ENA|PV935594|PV935594.1_predicted_orf_101	90	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_102	36	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_103	31	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_104	82	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_105	98	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_106	31	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_107	79	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_108	77	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_109	51	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_110	41	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_111	49	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_112	33	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_113	37	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_114	45	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_115	89	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_116	45	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_117	275	Annotated	P0DTC3	sp|P0DTC3|AP3A_SARS2	Homolog to sp|P0DTC3|AP3A_SARS2 (evalue: 2.58e-202)	2.58e-202	2.58e-202	551.0	100.0	100.0	100.0	100.0	100.0	100.0	275.0	1.0
ENA|PV935594|PV935594.1_predicted_orf_118	30	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_119	73	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_120	31	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_121	65	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_122	32	Annotated	P59633	sp|P59633|NS3B_SARS	Homolog to sp|P59633|NS3B_SARS (evalue: 1.9e-14)	1.9e-14	1.9e-14	60.8	87.5	87.5	100.0	100.0	20.78	87.5	32.0	0.6174
ENA|PV935594|PV935594.1_predicted_orf_123	75	Annotated	P0DTC4	sp|P0DTC4|VEMP_SARS2	Homolog to sp|P0DTC4|VEMP_SARS2 (evalue: 6.42e-45)	6.42e-45	6.42e-45	137.0	100.0	100.0	100.0	100.0	100.0	100.0	75.0	0.7768
ENA|PV935594|PV935594.1_predicted_orf_124	222	Annotated	P0DTC5	sp|P0DTC5|VME1_SARS2	Homolog to sp|P0DTC5|VME1_SARS2 (evalue: 2.76e-157)	2.76e-157	2.76e-157	433.0	100.0	100.0	100.0	100.0	100.0	100.0	222.0	1.0
ENA|PV935594|PV935594.1_predicted_orf_125	74	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_126	58	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_127	61	Annotated	P0DTC6	sp|P0DTC6|NS6_SARS2	Homolog to sp|P0DTC6|NS6_SARS2 (evalue: 1.73e-36)	1.73e-36	1.73e-36	115.0	100.0	100.0	100.0	100.0	100.0	100.0	61.0	0.743
ENA|PV935594|PV935594.1_predicted_orf_128	33	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_129	121	Annotated	P0DTC7	sp|P0DTC7|NS7A_SARS2	Homolog to sp|P0DTC7|NS7A_SARS2 (evalue: 8.13e-85)	8.13e-85	8.13e-85	242.0	100.0	100.0	100.0	100.0	100.0	100.0	121.0	0.9364
ENA|PV935594|PV935594.1_predicted_orf_130	31	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_131	43	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_132	52	Annotated	P0DTD8	sp|P0DTD8|NS7B_SARS2	Homolog to sp|P0DTD8|NS7B_SARS2 (evalue: 5.45e-17)	5.45e-17	5.45e-17	65.5	100.0	100.0	82.69	82.69	100.0	100.0	43.0	0.6131
ENA|PV935594|PV935594.1_predicted_orf_133	121	Annotated	P0DTC8	sp|P0DTC8|NS8_SARS2	Homolog to sp|P0DTC8|NS8_SARS2 (evalue: 3.72e-90)	3.72e-90	3.72e-90	255.0	99.17	99.17	100.0	100.0	100.0	99.17	121.0	0.9552
ENA|PV935594|PV935594.1_predicted_orf_134	419	Annotated	P0DTC9	sp|P0DTC9|NCAP_SARS2	Homolog to sp|P0DTC9|NCAP_SARS2 (evalue: 1.43e-283)	1.43e-283	1.43e-283	769.0	100.0	100.0	100.0	100.0	100.0	100.0	419.0	1.0
ENA|PV935594|PV935594.1_predicted_orf_135	48	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_136	38	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_137	32	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_138	45	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_139	88	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_140	86	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_141	68	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_142	58	Hypothetical Protein		None	hypothetical protein											0.0
ENA|PV935594|PV935594.1_predicted_orf_143	38	Annotated	A0A663DJA2	sp|A0A663DJA2|ORF10_SARS2	Homolog to sp|A0A663DJA2|ORF10_SARS2 (evalue: 6.04e-23)	6.04e-23	6.04e-23	79.7	100.0	100.0	100.0	100.0	100.0	100.0	38.0	0.6889
